id_jur,nm_jur,nm_intl_jur,u_sma,u_smk,u_pt,u_slb,id_jenj_didik,id_induk_jurusan,id_kel_bidang
"25201     ","Geografi Dan Ilmu Lingkungan",NULL,0,0,1,0,30,NULL,12
"25202     ","Teknologi Bioproses",NULL,0,0,1,0,30,NULL,12
"25401     ","Manajemen Lingkungan",NULL,0,0,1,0,22,NULL,12
"26001     ","Ilmu Teknik Industri",NULL,0,0,1,0,40,NULL,12
"26101     ","Teknik Dan Manajemen Industri",NULL,0,0,1,0,35,NULL,12
"26201     ","Teknik Industri",NULL,0,0,1,0,30,NULL,12
"26202     ","Manajemen Rekayasa",NULL,0,0,1,0,30,NULL,12
"26203     ","Agen Intelijen",NULL,0,0,1,0,30,NULL,12
"26204     ","Analis Intelijen",NULL,0,0,1,0,30,NULL,12
"26301     ","Teknik Manajemen Industri Pertahanan",NULL,0,0,1,0,23,NULL,12
"26302     ","Teknik Manajemen Pabrik",NULL,0,0,1,0,23,NULL,12
"26303     ","Teknologi Mekanik Industri",NULL,0,0,1,0,23,NULL,12
"26304     ","Manajemen Industri",NULL,0,0,1,0,23,NULL,12
"26401     ","Teknik Industri",NULL,0,0,1,0,22,NULL,12
"26402     ","Manajemen Industri",NULL,0,0,1,0,22,NULL,12
"26501     ","Teknik Industri PDD",NULL,0,0,1,0,21,NULL,12
"27001     ","Teknik Metalurgi Dan Material",NULL,0,0,1,0,40,NULL,12
"27101     ","Material dan Metalurgi",NULL,0,0,1,0,35,NULL,12
"27201     ","Teknik Metalurgi",NULL,0,0,1,0,30,NULL,12
"27401     ",Metalurgi,NULL,0,0,1,0,22,NULL,12
"28001     ","Ilmu Bahan-bahan",NULL,0,0,1,0,40,NULL,12
"28101     ","Ilmu Dan Teknik Material",NULL,0,0,1,0,35,NULL,12
"28201     ","Teknik Material",NULL,0,0,1,0,30,NULL,12
"29001     ","Ilmu Teknik Geomatika",NULL,0,0,1,0,40,NULL,12
"29101     ","Teknik Geodesi Dan Geomatika",NULL,0,0,1,0,35,NULL,12
"29201     ","Teknik Geodesi",NULL,0,0,1,0,30,NULL,12
"29202     ","Teknik Geomatika",NULL,0,0,1,0,30,NULL,12
"29401     ","Teknik Geodesi",NULL,0,0,1,0,22,NULL,12
"30001     ","Teknik Fisika",NULL,0,0,1,0,40,NULL,12
"30101     ","Teknik Fisika",NULL,0,0,1,0,35,NULL,12
"30102     ","Instrumentasi Dan Kontrol",NULL,0,0,1,0,35,NULL,12
"30201     ","Fisika Teknik",NULL,0,0,1,0,30,NULL,12
"30202     ","Elektronika Dan Instrumentasi",NULL,0,0,1,0,30,NULL,12
"30302     ","Elektronika dan Instrumentasi",NULL,0,0,1,0,23,NULL,12
"30303     ",Elektromekanika,NULL,0,0,1,0,23,NULL,12
"30401     ",Fisika,NULL,0,0,1,0,22,NULL,12
"31001     ","Rekayasa Pertambangan",NULL,0,0,1,0,40,NULL,12
